LengthPx,groupID,expID
93,2,NA
95,2,NA
103,2,NA
105,2,NA
99,2,NA
97,2,NA
92,2,NA
90,2,NA
103,2,NA
99,2,NA
92,2,NA
94,2,NA
98,2,NA
95,2,NA
96,2,NA
97,2,NA
99,2,NA
97,2,NA
103,2,NA
102.5,2,NA
102.3,2,NA
100.5,2,NA
101.5,2,NA
100,2,NA
101,2,NA
101.3,2,NA
96.5,2,NA
94.2,2,NA
99,2,NA
100.5,2,NA
100.5,2,NA
100,2,NA
94.17,2,NA
92.5,2,NA
95,2,NA
97,2,NA
105.5,2,NA
106,2,NA
95.6,2,NA
93.5,2,NA
91,3,NA
88,3,NA
90,3,NA
90,3,NA
94,3,NA
93.5,3,NA
94,3,NA
93,3,NA
94,3,NA
98,3,NA
101,3,NA
94,3,NA
93,3,NA
92,3,NA
91.5,3,NA
88.5,3,NA
89,3,NA
91,3,NA
90.5,3,NA
95,3,NA
97,3,NA
94.7,3,NA
94.7,3,NA
95.4,3,NA
93.6,3,NA
93.3,3,NA
96,3,NA
100.7,3,NA
99.7,3,NA
93.3,3,NA
94.4,3,NA
89.3,3,NA
93.02,3,NA
98.8,3,NA
97.8,3,NA
89.5,3,NA
89.6,3,NA
92,1,NA
92,1,NA
90.5,1,NA
93,1,NA
100,1,NA
102,1,NA
100,1,NA
99,1,NA
91,1,NA
92.5,1,NA
91.5,1,NA
91.5,1,NA
93,1,NA
90.3,1,NA
96,1,NA
96,1,NA
102,1,NA
99,1,NA
98,1,NA
97,1,NA
99,1,NA
96,1,NA
90.5,1,NA
92.3,1,NA
92.1,1,NA
93.6,1,NA
92.5,1,NA
101.7,1,NA
102,1,NA
96.7,1,NA
97.7,1,NA
100.7,1,NA
100.2,1,NA
90.6,1,NA
91.7,1,NA
100.3,1,NA
99.8,1,NA
96.25,1,4560
97.7,1,4440
96.59,1,4410
97.08,1,3990
93.6,1,3940
101.5,1,3830
96.63,1,3550
98.52,1,3510
92.02,1,3460
95.42,1,3420
95.96,1,3400
96.3,1,329
96.21,1,322
93.86,1,300
97.12,1,4630
95.8,1,4580
92.4,1,4470
97.4,1,4530
98.68,1,4340
92.1,1,4310
