Length_mm,LengthPx,groupID
4.1202534,93,LF
4.208861,95,LF
4.5632914,103,LF
4.651899,105,LF
4.3860762,99,LF
4.2974686,97,LF
4.0759496,92,LF
3.987342,90,LF
4.5632914,103,LF
4.3860762,99,LF
4.0759496,92,LF
4.1645572,94,LF
4.3417724,98,LF
4.208861,95,LF
4.2531648,96,LF
4.2974686,97,LF
4.3860762,99,LF
4.2974686,97,LF
4.5632914,103,LF
4.5411395,102.5,LF
4.53227874,102.3,LF
4.4525319,100.5,LF
4.4968357,101.5,LF
4.43038,100,LF
4.4746838,101,LF
4.48797494,101.3,LF
4.2753167,96.5,LF
4.17341796,94.2,LF
4.3860762,99,LF
4.4525319,100.5,LF
4.4525319,100.5,LF
4.43038,100,LF
4.172088846,94.17,LF
4.0981015,92.5,LF
4.208861,95,LF
4.2974686,97,LF
4.6740509,105.5,LF
4.6962028,106,LF
4.23544328,95.6,LF
4.1424053,93.5,LF
4.0316458,91,NF
3.8987344,88,NF
3.987342,90,NF
3.987342,90,NF
4.1645572,94,NF
4.1424053,93.5,NF
4.1645572,94,NF
4.1202534,93,NF
4.1645572,94,NF
4.3417724,98,NF
4.4746838,101,NF
4.1645572,94,NF
4.1202534,93,NF
4.0759496,92,NF
4.0537977,91.5,NF
3.9208863,88.5,NF
3.9430382,89,NF
4.0316458,91,NF
4.0094939,90.5,NF
4.208861,95,NF
4.2974686,97,NF
4.19556986,94.7,NF
4.19556986,94.7,NF
4.22658252,95.4,NF
4.14683568,93.6,NF
4.13354454,93.3,NF
4.2531648,96,NF
4.46139266,100.7,NF
4.41708886,99.7,NF
4.13354454,93.3,NF
4.18227872,94.4,NF
3.95632934,89.3,NF
4.121139476,93.02,NF
4.37721544,98.8,NF
4.33291164,97.8,NF
3.9651901,89.5,NF
3.96962048,89.6,NF
4.0759496,92,DF
4.0759496,92,DF
4.0094939,90.5,DF
4.1202534,93,DF
4.43038,100,DF
4.5189876,102,DF
4.43038,100,DF
4.3860762,99,DF
4.0316458,91,DF
4.0981015,92.5,DF
4.0537977,91.5,DF
4.0537977,91.5,DF
4.1202534,93,DF
4.00063314,90.3,DF
4.2531648,96,DF
4.2531648,96,DF
4.5189876,102,DF
4.3860762,99,DF
4.3417724,98,DF
4.2974686,97,DF
4.3860762,99,DF
4.2531648,96,DF
4.0094939,90.5,DF
4.08924074,92.3,DF
4.08037998,92.1,DF
4.14683568,93.6,DF
4.0981015,92.5,DF
4.50569646,101.7,DF
4.5189876,102,DF
4.28417746,96.7,DF
4.32848126,97.7,DF
4.46139266,100.7,DF
4.43924076,100.2,DF
4.01392428,90.6,DF
4.06265846,91.7,DF
4.44367114,100.3,DF
4.42151924,99.8,DF
4.26424075,96.25,DF
4.32848126,97.7,DF
4.279304042,96.59,DF
4.301012904,97.08,DF
4.14683568,93.6,DF
4.4968357,101.5,DF
4.281076194,96.63,DF
4.364810376,98.52,DF
4.076835676,92.02,DF
4.227468596,95.42,DF
4.251392648,95.96,DF
4.26645594,96.3,DF
4.262468598,96.21,DF
4.158354668,93.86,DF
4.302785056,97.12,DF
4.24430404,95.8,DF
4.09367112,92.4,DF
4.31519012,97.4,DF
4.371898984,98.68,DF
4.08037998,92.1,DF
