"","LengthPx","groupID","expID"
"1",93,2,NA
"2",95,2,NA
"3",103,2,NA
"4",105,2,NA
"5",99,2,NA
"6",97,2,NA
"7",92,2,NA
"8",90,2,NA
"9",103,2,NA
"10",99,2,NA
"11",92,2,NA
"12",94,2,NA
"13",98,2,NA
"14",95,2,NA
"15",96,2,NA
"16",97,2,NA
"17",99,2,NA
"18",97,2,NA
"19",103,2,NA
"20",102.5,2,NA
"21",102.3,2,NA
"22",100.5,2,NA
"23",101.5,2,NA
"24",100,2,NA
"25",101,2,NA
"26",101.3,2,NA
"27",96.5,2,NA
"28",94.2,2,NA
"29",99,2,NA
"30",100.5,2,NA
"31",100.5,2,NA
"32",100,2,NA
"33",94.17,2,NA
"34",92.5,2,NA
"35",95,2,NA
"36",97,2,NA
"37",105.5,2,NA
"38",106,2,NA
"39",95.6,2,NA
"40",93.5,2,NA
"41",91,3,NA
"42",88,3,NA
"43",90,3,NA
"44",90,3,NA
"45",94,3,NA
"46",93.5,3,NA
"47",94,3,NA
"48",93,3,NA
"49",94,3,NA
"50",98,3,NA
"51",101,3,NA
"52",94,3,NA
"53",93,3,NA
"54",92,3,NA
"55",91.5,3,NA
"56",88.5,3,NA
"57",89,3,NA
"58",91,3,NA
"59",90.5,3,NA
"60",95,3,NA
"61",97,3,NA
"62",94.7,3,NA
"63",94.7,3,NA
"64",95.4,3,NA
"65",93.6,3,NA
"66",93.3,3,NA
"67",96,3,NA
"68",100.7,3,NA
"69",99.7,3,NA
"70",93.3,3,NA
"71",94.4,3,NA
"72",89.3,3,NA
"73",93.02,3,NA
"74",98.8,3,NA
"75",97.8,3,NA
"76",89.5,3,NA
"77",89.6,3,NA
"78",92,1,NA
"79",92,1,NA
"80",90.5,1,NA
"81",93,1,NA
"82",100,1,NA
"83",102,1,NA
"84",100,1,NA
"85",99,1,NA
"86",91,1,NA
"87",92.5,1,NA
"88",91.5,1,NA
"89",91.5,1,NA
"90",93,1,NA
"91",90.3,1,NA
"92",96,1,NA
"93",96,1,NA
"94",102,1,NA
"95",99,1,NA
"96",98,1,NA
"97",97,1,NA
"98",99,1,NA
"99",96,1,NA
"100",90.5,1,NA
"101",92.3,1,NA
"102",92.1,1,NA
"103",93.6,1,NA
"104",92.5,1,NA
"105",101.7,1,NA
"106",102,1,NA
"107",96.7,1,NA
"108",97.7,1,NA
"109",100.7,1,NA
"110",100.2,1,NA
"111",90.6,1,NA
"112",91.7,1,NA
"113",100.3,1,NA
"114",99.8,1,NA
"115",96.25,4,"4560"
"116",97.7,4,"4440"
"117",96.59,4,"4410"
"118",97.08,4,"3990"
"119",93.6,4,"3940"
"120",101.5,4,"3830"
"121",96.63,4,"3550"
"122",98.52,4,"3510"
"123",92.02,4,"3460"
"124",95.42,4,"3420"
"125",95.96,4,"3400"
"126",96.3,4,"329"
"127",96.21,4,"322"
"128",93.86,4,"300"
"129",97.12,4,"4630"
"130",95.8,4,"4580"
"131",92.4,4,"4470"
"132",97.4,4,"4530"
"133",98.68,4,"4340"
"134",92.1,4,"4310"
"135",106.508,2,"3951"
"136",93.1,1,"3941"
"137",86.03,1,"3421"
"138",94.59,3,"3811"
"139",98.47,3,"3731"
"140",92.97,3,"3871"
"141",83.8153,1,"284"
"142",97.63,2,"3541"
"143",96.04,2,"4612"
"144",91.54,3,"3931"
"145",95.27,3,"4211"
"146",91.41,2,"4001"
"147",91.23,3,"3413"
"148",89.96,3,"3961"
"149",92.72,2,"3441"
"150",106.2,2,"4041"
"151",100.49,2,"3681"
"152",100.49,1,"4071"
"153",98,3,"4051"
"154",95,1,"3511"
"155",95.42,1,"3991"
"156",110.11,2,"3591"
"157",110.6,2,"3591"
"158",92.61,1,"4251"
"159",95.21,1,"4561"
"160",89,3,"252"
"161",93.34,2,"3921"
"162",94,3,"3781"
"163",100.28,2,"301"
"164",93.19,6,"285"
"165",95.189,2,"2320"
"166",96.834,1,"240"
"167",96.88,1,"3721"
"168",96.93,3,"4551"
"169",96.76,3,"4551"
"170",97.015,2,"4081"
"171",92.097,1,"306"
"172",89.805,1,"3971"
"173",101.6,2,"3801"
"174",93.55,2,"2951"
"175",101.02,2,"3471"
"176",94.403,3,"3981"
"177",93.23,1,"3691"
"178",92.2,2,"282"
"179",89.196,3,"3911"
"180",95.524,6,"277"
"181",89.98,1,"4581"
"182",87.641,3,"4241"
"183",89.49,3,"4091"
"184",101.789,2,"254"
"185",90.6863,1,"3551"
"186",92.444,1,"3661"
"187",93.509,1,"3581"
"188",97.621,2,"3561"
"189",90.271,1,"3641"
"190",99.29,1,"319"
"191",106.066,2,"4141"
"192",90.249,3,"318"
"193",103.769,2,"3891"
"194",93.145,3,"287"
"195",92.655,6,"4620"
"196",98.234,6,"3600"
"197",99.1262,1,"4031"
"198",99.0202,2,"334"
"199",92.72,3,"4021"
"200",92.763,3,"4181"
"201",89.14,3,"225"
"202",95.015,1,"3821"
"203",106.17,2,"228"
"204",96.046,1,"327"
"205",99.04,2,"326"
"206",97.61,2,"3521"
"207",93.7443,1,"3461"
"208",99.247,1,"3831"
"209",95.462,3,"3451"
"210",97.17,2,"253"
"211",92.005,2,"224"
"212",95.51,3,"336"
"213",97.98,2,"288"
"214",93.6,1,"3771"
"215",99.62,3,"3671"
"216",92.09,2,"3431"
"217",89.82,3,"229"
"218",91.04,2,"4361"
"219",99.72,2,"272"
"220",96.176,3,"4521"
"221",103.4,2,"3381"
"222",94.493,2,"3652"
"223",93.477,1,"298"
"224",100.896,3,"3601"
"225",92.8,1,"226"
"226",89.69,3,"3701"
"227",94.64,1,"4121"
"228",94.26,3,"2950"
"229",102.2,2,"263"
"230",87.7,3,"4621"
"231",98.045,1,"3611"
"232",90.05,3,"309"
"233",94.37,2,"4391"
"234",102.92,2,"3741"
"235",99.36,1,"4191"
"236",93.47,1,"274"
"237",97.69,2,"308"
"238",100,2,"3851"
"239",99.29,1,"262"
"240",97.94,3,"3751"
"241",95.27,1,"3761"
"242",91.285,1,"296"
"243",94.339,3,"273"
"244",95.25,3,"3571"
"245",98,2,"3621"
"246",92.9,3,"239"
"247",98.84,1,"4161"
"248",104.3,2,"4451"
"249",89.98,3,"4151"
"250",96.84,1,"311"
"251",101.5,3,"3841"
"252",91.96,1,"283"
"253",91.21,1,"283"
"254",92.655,3,"4461"
"255",108.24,2,"317"
"256",104.019,1,"236"
"257",101.769,2,"248"
"258",94.831,1,"4631"
"259",109,2,"3861"
"260",90.824,2,"238"
"261",91.394,1,"231"
"262",99.93,2,"4011"
"263",94.429,3,"261"
"264",88.81,1,"3881"
"265",93.861,3,"297"
"266",92.309,1,"4061"
"267",92.617,3,"3501"
"268",98.615,1,"4341"
"269",97.862,2,"4321"
"270",93.193,3,"234"
"271",97.308,3,"337"
"272",102.95,2,"310"
"273",97.128,3,"4591"
"274",92.114,1,"4311"
"275",104,1,"260"
"276",102.489,1,"260"
"277",NA,1,"3481"
"278",94.641,1,"251"
"279",91.809,2,"4542"
"280",99.201,2,"4571"
"281",97.59,2,"4131"
"282",98,3,"3531"
"283",100.603,1,"335"
"284",95.07,1,"3901"
"285",93.68,2,"4422"
"286",94.752,3,"264"
"287",100.84,2,"4231"
"288",96.602,1,"3481"
